STEP,STEPNAME,X,Y,Z
0,start,770.6901245117188,61.681766510009766,-555.9796752929688
1,*,932.1886596679688,50.579689025878906,-471.4723815917969
2,*,769.68603515625,35.71115493774414,-330.1717529296875
3,*,679.4821166992188,51.92412185668945,-560.703125
4,*,369.9617919921875,33.695064544677734,-630.2423095703125
5,*,321.8377685546875,35.29410171508789,-404.81536865234375
6,*,35.278564453125,42.79775619506836,-225.3185272216797
7,*,-355.0137939453125,41.88217544555664,-97.36225128173828
8,*,-202.68838500976562,47.71106719970703,-12.467292785644531
9,*,275.9913635253906,29.38922691345215,-427.5582275390625
10,*,370.9323425292969,33.57604217529297,-629.8128662109375
11,end,656.0433959960938,51.61550521850586,-575.2821655273438
-1,reset,252.3805389404297,52.90296936035156,-636.0989379882812
