STEP,STEPNAME,X,Y,Z
0,start,189.24212646484375,38.04368209838867,412.3811340332031
1,*,-70.00048065185547,30.43256950378418,451.5010986328125
2,*,-52.569393157958984,37.93097686767578,250.85276794433594
3,*,-6.233772277832031,111.81794738769531,83.85763549804688
4,*,202.64353942871094,46.57558059692383,1.6096469163894653
5,*,313.4672546386719,59.56179428100586,-203.94168090820312
6,*,763.8953857421875,82.28750610351562,-248.554443359375
7,*,861.5894165039062,-0.11061082780361176,150.6088409423828
8,*,885.3433227539062,-0.2789803743362427,409.9283447265625
9,*,1037.5267333984375,-0.34036582708358765,551.0679321289062
10,*,1076.2242431640625,13.433802604675293,430.6039123535156
11,*,796.7359619140625,41.71104049682617,468.15771484375
12,end,352.8476867675781,45.145347595214844,425.576416015625
-1,reset,243.18453979492188,78.04730987548828,521.9669189453125
