STEP,STEPNAME,X,Y,Z
0,start,81.60356140136719,169.28707885742188,149.9441680908203
1,*,110.7217025756836,169.14312744140625,376.41265869140625
2,*,111.17762756347656,139.6862335205078,477.0283508300781
3,*,-255.87911987304688,57.80933380126953,502.0262756347656
4,*,-176.75387573242188,7.059552192687988,314.19964599609375
5,*,-288.5499572753906,3.7643115520477295,-97.32538604736328
6,*,-75.8969497680664,13.366032600402832,-146.5823974609375
7,*,-22.72895622253418,104.4173812866211,-1.7704955339431763
8,end,20.252696990966797,168.30413818359375,86.17316436767578
-1,reset,81.61611938476562,168.58372497558594,47.076927185058594
