STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-395.6390380859375,206.4580078125,-260.9095153808594,15,-1
1,*,-405.5165710449219,206.41685485839844,-177.49461364746094,15,-1
2,*,-320.4726867675781,206.3603973388672,-197.76663208007812,15,-1
3,*,-245.93609619140625,206.22357177734375,-382.8314514160156,15,-1
4,*,-163.11105346679688,206.1451873779297,-471.6710205078125,15,-1
5,*,-141.47653198242188,207.6029052734375,-317.5226135253906,15,-1
6,*,-109.83819580078125,206.3501739501953,-423.4449157714844,15,-1
7,*,-225.20501708984375,206.38619995117188,-433.6800231933594,15,-1
8,*,-208.20751953125,206.292236328125,-486.7186584472656,15,-1
9,*,-315.43670654296875,206.90782165527344,-550.3900146484375,15,-1
10,end,-382.8711853027344,206.47311401367188,-365.8200378417969,15,-1
-1,reset,-408.1575622558594,204.59912109375,-305.2271423339844,5,-1
