STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-401.29058837890625,45.555843353271484,-236.99441528320312,15,-1
1,*,-161.28123474121094,45.34897232055664,-284.7874755859375,15,-1
2,*,-233.71214294433594,45.25481414794922,-213.10499572753906,15,-1
3,*,-344.51666259765625,9.7603120803833,-172.24363708496094,15,-1
4,*,-288.7929992675781,4.452113151550293,-32.893367767333984,15,-1
5,*,-252.1211395263672,4.357954978942871,54.789180755615234,15,-1
6,*,-135.93209838867188,28.563610076904297,-18.778888702392578,15,-1
7,*,-252.01219177246094,45.66895294189453,-101.7827377319336,15,-1
8,end,-400.7625427246094,45.555843353271484,-232.71395874023438,15,-1
-1,reset,-372.53338623046875,43.575435638427734,-198.2698516845703,5,-1
