STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,404.5671691894531,2.582437515258789,324.9787292480469,15,-1
1,*,303.69775390625,3.518315553665161,72.80606842041016,15,-1
2,*,269.7660217285156,2.4708468914031982,-121.98452758789062,15,-1
3,*,223.7158966064453,2.582451581954956,-380.2356872558594,15,-1
4,*,-197.06985473632812,3.2790937423706055,-303.65472412109375,15,-1
5,*,-273.3060302734375,119.89337921142578,-371.9367980957031,15,-1
6,*,-359.6650390625,122.94911193847656,-370.29132080078125,15,-1
7,*,-373.4464111328125,215.77113342285156,-487.2214050292969,15,-1
8,*,-434.92132568359375,208.10577392578125,-522.5448608398438,15,-1
9,*,-530.4970703125,198.16932678222656,-571.4620361328125,15,-1
10,*,-706.166015625,198.65118408203125,-347.9584655761719,15,-1
11,*,-739.9432983398438,197.85496520996094,-164.17088317871094,15,-1
12,*,-628.7788696289062,152.19126892089844,0.9833782315254211,15,-1
13,*,-528.5716552734375,152.43609619140625,58.980377197265625,15,-1
14,*,-473.0293273925781,120.11653137207031,233.30038452148438,15,-1
15,*,-296.1675720214844,119.68087768554688,379.26275634765625,15,-1
16,*,-110.313232421875,120.11741638183594,488.3306884765625,15,-1
17,*,-3.6044881343841553,120.5871810913086,659.4140625,15,-1
18,*,106.49679565429688,119.8433609008789,640.7774658203125,15,-1
19,*,277.0906066894531,24.888893127441406,558.7813720703125,15,-1
20,*,421.19671630859375,2.57938289642334,565.5941772460938,15,-1
21,end,402.9638671875,2.5824780464172363,390.6053771972656,15,-1
-1,reset,578.5482177734375,2.4808900356292725,-0.1551261842250824,5,-1
