STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-215.84762573242188,59.120479583740234,483.0685119628906,15,-1
1,*,-367.8750915527344,63.3345947265625,425.53961181640625,15,-1
2,*,-346.95269775390625,113.1539535522461,253.807861328125,15,-1
3,*,-256.8870849609375,135.793212890625,54.45917892456055,15,-1
4,*,-272.1781921386719,151.4822540283203,-108.2842025756836,15,-1
5,*,-373.6390380859375,150.5257110595703,-406.2071228027344,15,-1
6,*,-108.01730346679688,149.43624877929688,-734.8414916992188,15,-1
7,*,241.8986358642578,149.67449951171875,-766.950927734375,15,-1
8,*,356.8263244628906,147.98577880859375,-412.9253234863281,15,-1
9,*,358.0070495605469,155.732421875,-54.664886474609375,15,-1
10,*,364.00732421875,79.85614776611328,297.9862976074219,15,-1
11,*,176.72462463378906,34.70445251464844,478.9430847167969,15,-1
12,*,-15.630900382995605,33.41613006591797,534.9503784179688,15,-1
13,end,-154.9878387451172,57.98371124267578,491.6220703125,15,-1
-1,reset,-197.84075927734375,176.31114196777344,837.9654541015625,5,-1
