STEP,STEPNAME,X,Y,Z
0,start,202.706756591797,70.8086013793945,403.514709472656
1,*,266.094512939453,62.7239570617676,494.268341064453
2,*,293.290863037109,28.4634742736816,575.260986328125
3,*,374.580078125,3.84044361114502,625.386535644531
4,*,441.680541992188,1.04866361618042,633.3212890625
5,*,565.407653808594,2.10120272636414,646.491149902344
6,*,620.015563964844,4.54329586029053,599.533508300781
7,*,634.695495605469,10.5527057647705,527.846557617188
8,*,606.938537597656,2.4984655380249,451.452239990234
9,*,584.397216796875,1.85183835029602,400.51611328125
10,*,602.742553710938,2.63544106483459,331.83935546875
11,*,739.687377929688,20.1391887664795,270.254821777344
12,*,795.373962402344,17.6094417572021,244.270584106445
13,*,837.60986328125,18.5730304718018,198.170593261719
14,*,926.879638671875,25.4452724456787,188.98469543457
15,*,1005.0771484375,22.7531871795654,183.239944458008
16,*,1029.68664550781,23.0995788574219,83.3305435180664
17,*,1019.30706787109,29.0562038421631,-29.2151699066162
18,*,1014.23931884766,30.6082534790039,-168.129348754883
19,*,965.961486816406,30.8641872406006,-185.765228271484
20,*,906.364807128906,28.6573810577393,-173.106033325195
21,*,797.694152832031,46.967716217041,-78.2289733886719
22,*,863.469116210938,64.0405654907227,-55.9526748657227
23,*,962.152770996094,66.0183486938477,-5.90697288513184
24,*,982.872863769531,55.8256340026856,73.207275390625
25,*,977.941101074219,51.0198287963867,129.206649780273
26,*,928.9228515625,49.216423034668,126.9267578125
27,*,847.843078613281,62.0713310241699,106.236335754395
28,*,709.157104492188,65.6471710205078,154.079772949219
29,*,616.417419433594,69.8362884521484,135.801559448242
30,*,426.894104003906,74.4564590454102,115.564308166504
31,*,376.141357421875,74.023811340332,168.432373046875
32,*,301.842529296875,76.7105941772461,314.753021240234
33,end,242.557022094727,75.5827331542969,359.191741943359
-1,reset,68.7018051147461,114.040863037109,251.46272277832
