STEP,STEPNAME,X,Y,Z
0,start,-147.92791748046875,160.50857543945312,802.2315673828125
-1,reset,-197.393798828125,176.31114196777344,837.9560546875
1,*,-294.9360046386719,143.67054748535156,757.1546020507812
2,*,-417.1582336425781,156.12904357910156,667.5819091796875
3,*,-375.793701171875,156.52720642089844,591.9478759765625
4,*,-379.462646484375,156.5839080810547,518.9541625976562
5,*,-480.4830017089844,148.40139770507812,352.7671813964844
6,*,-413.3994445800781,147.91810607910156,139.49838256835938
7,*,-260.5088195800781,148.5967559814453,-52.91225814819336
8,*,-236.99061584472656,185.4422607421875,-136.32156372070312
9,*,-269.5045166015625,149.68038940429688,-293.12359619140625
10,*,-167.65928649902344,153.12054443359375,-575.2538452148438
11,*,-34.05190658569336,198.7949981689453,-635.85400390625
12,*,176.0216522216797,154.64389038085938,-715.9424438476562
13,*,360.4630432128906,149.04852294921875,-705.9959716796875
14,*,378.53857421875,150.0332489013672,-702.9691162109375
15,*,360.163818359375,149.0449676513672,-589.828125
16,*,311.8312072753906,168.10964965820312,-631.4200439453125
17,*,160.03932189941406,151.66358947753906,-656.0883178710938
18,*,133.60780334472656,123.3482666015625,-468.08428955078125
19,*,-16.765560150146484,118.62605285644531,-399.0623779296875
20,*,-10.213390350341797,112.89533233642578,-593.9403076171875
21,*,80.39337158203125,101.61268615722656,-459.05230712890625
22,*,-62.68730926513672,108.47821044921875,-531.5938720703125
23,*,-63.30719757080078,121.88362121582031,-587.1699829101562
24,*,18.414350509643555,145.39146423339844,-670.1453857421875
25,*,110.78865051269531,193.92225646972656,-661.007568359375
26,end,156.16162109375,215.58126831054688,-608.0965576171875
