STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-201.920166015625,59.206172943115234,124.3137435913086,15
1,*,-179.36129760742188,56.540794372558594,246.1928253173828,15
2,*,-77.17977142333984,69.23721313476562,203.24981689453125,15
3,*,-15.456918716430664,65.4746322631836,263.8916320800781,15
4,*,35.35230255126953,100.58772277832031,357.5281677246094,15
5,*,74.33743286132812,103.2247085571289,349.0325012207031,15
6,*,56.09685134887695,139.7952117919922,251.52423095703125,15
7,*,85.42170715332031,141.88345336914062,108.12385559082031,15
8,*,174.58795166015625,140.56002807617188,36.077266693115234,15
9,*,221.25856018066406,139.6796112060547,-148.36065673828125,15
10,*,420.2572021484375,100.623046875,-297.3472595214844,15
11,*,335.9992370605469,58.221885681152344,-263.603515625,15
12,*,223.60250854492188,54.0503044128418,-427.32342529296875,15
13,*,110.50932312011719,62.99293518066406,-395.4603271484375,15
14,*,105.10780334472656,100.26592254638672,-481.4498291015625,15
15,*,67.72206115722656,89.84036254882812,-415.5144958496094,15
16,*,68.7828598022461,79.4048080444336,-297.0739440917969,15
17,*,-24.734485626220703,79.96260833740234,-279.1301574707031,15
18,*,-4.165982246398926,53.20904541015625,-387.5310974121094,15
19,*,-172.67803955078125,59.30801010131836,-345.2653503417969,15
20,end,-215.71324157714844,60.2332649230957,-207.07119750976562,15
-1,reset,-240.4730987548828,59.29645919799805,59.292747497558594,5
