STEP,STEPNAME,X,Y,Z
0,start,68.57379150390625,301.9970703125,-41.2094612121582
1,*,-22.57027816772461,305.0397033691406,-20.125741958618164
2,*,-83.86954498291016,305.051025390625,37.18354415893555
3,*,-131.85147094726562,293.6063537597656,65.0433578491211
4,*,-212.85818481445312,286.59039306640625,60.400733947753906
5,*,-306.17242431640625,277.73223876953125,45.66388702392578
6,*,-315.29730224609375,268.4012145996094,81.18096160888672
7,*,-266.1584777832031,268.4024963378906,86.53128814697266
8,*,-243.79942321777344,268.3611755371094,171.0406036376953
9,*,-93.27214813232422,268.2345275878906,268.48614501953125
10,*,-33.45008850097656,248.70083618164062,363.9506530761719
11,*,60.99707794189453,241.28463745117188,388.96160888671875
12,*,128.56944274902344,267.1532287597656,313.84661865234375
13,*,163.58673095703125,234.2012939453125,182.09007263183594
14,*,275.9076232910156,237.77268981933594,171.0234375
15,*,379.5106201171875,216.3720245361328,217.50531005859375
16,*,407.4767150878906,212.11538696289062,331.1707763671875
17,*,503.72955322265625,214.20912170410156,356.55438232421875
18,*,603.52587890625,220.21192932128906,306.3197937011719
19,*,627.747314453125,237.47006225585938,181.9019317626953
20,*,560.2664794921875,251.78448486328125,86.61962890625
21,*,555.0912475585938,256.8807373046875,29.81451988220215
22,*,490.7671813964844,298.2248840332031,-79.01435852050781
23,*,484.04400634765625,310.2279357910156,-196.42703247070312
24,*,411.65643310546875,310.1990051269531,-228.62759399414062
25,*,309.7533264160156,302.7648620605469,-206.40066528320312
26,*,230.67495727539062,302.0447998046875,-120.46470642089844
27,end,161.00820922851562,302.1965026855469,-73.2139892578125
-1,reset,160.72866821289062,301.9792175292969,-50.434452056884766
