STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-463.1521911621094,236.14100646972656,-591.738525390625,15,335.9056947338998
1,*,-371.60870361328125,208.22900390625,-598.7867431640625,15,202.89984772380527
2,*,-462.5664367675781,196.02206420898438,-537.0411376953125,15,250.10294120308362
3,*,-804.3388671875,124.02725219726562,-436.73150634765625,15,263.4190220662822
4,*,-836.1036987304688,108.61808776855469,-288.1688537597656,15,107.01396093638718
5,*,-554.16943359375,148.744384765625,-297.4897155761719,15,70.1887241572758
6,*,-475.46429443359375,140.94496154785156,-247.40184020996094,15,182.9796208542811
7,*,-439.2720642089844,125.55339813232422,-99.93498992919922,15,126.13733072892839
8,*,-82.24980926513672,31.777551651000977,250.934326171875,15,148.450926133716
9,*,270.96673583984375,47.1689453125,304.7545166015625,15,73.1598016725284
10,*,469.60791015625,12.63326644897461,375.3145446777344,15,163.97838492990158
11,end,487.92779541015625,9.81131362915039,629.0595703125,15,190.38385153710868
-1,reset,-468.32952880859375,138.78883361816406,-359.66131591796875,5,-1
