STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,383.090087890625,429.4237365722656,-85.28695678710938,15,210.90491840785594
1,*,275.8387145996094,413.51031494140625,-87.05977630615234,15,279.77184632391385
2,*,236.9461212158203,413.6751708984375,-103.01303100585938,15,333.0175460989294
3,*,162.73597717285156,406.24383544921875,-8.071939468383789,15,247.5104968704374
4,*,-84.85086059570312,377.5785217285156,171.05752563476562,15,275.34858939298095
5,*,-149.68751525878906,366.5149841308594,105.71859741210938,15,340.93645152684246
6,*,-222.74940490722656,356.893798828125,-60.65214157104492,15,-1
7,*,-231.38888549804688,287.84759521484375,108.5441665649414,15,170.30032295592162
8,*,-100.5108871459961,266.86187744140625,104.50276947021484,15,12.989765338752505
9,*,-51.93431854248047,259.8177185058594,31.205228805541992,15,44.29277162208919
10,*,-8.350747108459473,258.4474182128906,-16.97933006286621,15,346.45634019859597
11,*,102.05442810058594,233.5881805419922,-6.655910491943359,15,129.05955600630372
12,*,175.39877319335938,234.06576538085938,1.6096364259719849,15,36.22049102491826
13,*,323.12982177734375,109.9267807006836,-337.1227111816406,15,332.5963710798533
14,*,248.16070556640625,118.61853790283203,-388.8042907714844,15,-1
15,*,219.76300048828125,204.35324096679688,-400.3000793457031,15,-1
16,*,369.3338928222656,203.54331970214844,-800.3683471679688,15,-1
17,*,188.69688415527344,188.07205200195312,-944.0205688476562,15,296.05672256289904
18,end,33.447479248046875,141.77630615234375,-974.4497680664062,15,262.9649057931959
-1,reset,409.6881103515625,410.79034423828125,-310.9899597167969,5,-1
