STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-214.02256774902344,970.302001953125,254.28501892089844,20
1,*,-148.9652557373047,843.267822265625,208.99839782714844,20
2,*,146.9234161376953,726.9110107421875,62.45119094848633,20
3,*,23.315641403198242,605.1710205078125,-227.4336700439453,20
4,*,49.87287139892578,480.1190185546875,-236.02223205566406,20
5,*,164.80624389648438,469.4620666503906,-37.41569900512695,20
6,*,184.5612030029297,493.2098083496094,115.125732421875,20
7,*,99.40296173095703,522.9872436523438,222.76519775390625,20
8,*,-56.23073959350586,484.8658447265625,240.79129028320312,20
9,*,-228.04541015625,410.7589416503906,111.78107452392578,20
10,*,-203.13937377929688,287.33837890625,246.18206787109375,20
11,end,-217.5818328857422,148.3661651611328,289.6142272949219,20
-1,reset,-306.4990539550781,162.9139404296875,195.4306182861328,5
-1,reset,114.48285675048828,9.071100234985352,37.474220275878906,5
