STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-197.07872009277344,753.3221435546875,28.806373596191406,15,-1
1,*,-120.29066467285156,667.3856811523438,-5.187489986419678,15,76.44301640857883
2,*,-78.62158966064453,692.2301635742188,-8.821113586425781,15,65.19618338237841
3,*,-33.37794494628906,676.3499145507812,-39.34915542602539,15,24.276513309159952
4,*,-59.64451217651367,720.96044921875,-66.54898834228516,15,180.3954913243094
5,*,-52.5290412902832,688.4263305664062,-14.24948787689209,15,-1
6,*,-43.00575637817383,637.2141723632812,-56.17750930786133,15,-1
7,*,46.932289123535156,616.1991577148438,-72.03326416015625,15,118.51367835499454
8,*,72.47431182861328,737.243408203125,-105.60470581054688,15,3.750432574910036
9,*,188.24671936035156,626.9619140625,-125.53714752197266,15,91.8116782626942
10,*,268.6477966308594,632.6837768554688,-155.04684448242188,15,180.13661964929668
11,*,383.6182556152344,642.7008666992188,-120.80545043945312,15,187.18646487077837
12,*,440.2381591796875,642.7413940429688,-58.97422409057617,15,249.06695073068664
13,*,451.24005126953125,640.5951538085938,54.91239929199219,15,283.86226536540977
14,*,433.4739685058594,636.9542846679688,131.7095184326172,15,294.8519665138401
15,*,435.8144226074219,639.34326171875,132.5100555419922,15,299.8771296765713
16,*,335.5923767089844,624.370361328125,150.4894256591797,15,-1
17,*,213.6250762939453,605.4429931640625,149.7017059326172,15,159.96860739336364
18,*,304.9925231933594,560.9356079101562,79.34935760498047,15,303.8835120921105
19,*,123.9160385131836,564.7279052734375,-6.227957248687744,15,338.82061068563746
20,*,-22.346071243286133,600.9093017578125,29.697093963623047,15,-1
21,*,-103.4884033203125,668.5836181640625,47.58903503417969,15,170.64223572484147
22,*,-148.8229522705078,517.3372192382812,91.7816162109375,15,307.9990072028098
23,*,-225.935546875,519.6221923828125,47.97785186767578,15,111.19932847833121
24,*,-158.40032958984375,515.8079833984375,-74.08128356933594,15,134.88944827893448
25,*,127.72543334960938,630.5365600585938,-25.061870574951172,15,120.19467566347953
26,*,139.78384399414062,625.7706298828125,-10.8135347366333,15,-1
27,*,143.2452392578125,611.8065185546875,-5.946449279785156,15,-1
28,*,240.22100830078125,483.96636962890625,20.482179641723633,15,121.29440927050727
29,*,141.9998016357422,408.1203918457031,102.69002532958984,15,-1
30,*,81.31631469726562,393.45159912109375,-4.265803813934326,15,-1
31,*,166.82626342773438,309.9343566894531,49.30083465576172,15,-1
32,*,44.04737854003906,266.8897705078125,99.58690643310547,15,-1
33,*,94.68257141113281,235.19851684570312,13.442126274108887,15,140.6175235586696
34,*,123.99262237548828,178.64691162109375,92.0057373046875,15,-1
35,*,-15.220526695251465,152.29489135742188,-0.179160475730896,15,292.8102216919394
36,*,-56.91182327270508,162.69357299804688,78.56686401367188,15,225.47044498537298
37,*,-163.06736755371094,101.49906158447266,-10.012992858886719,15,257.53635144542943
38,*,-227.8891143798828,130.75289916992188,-1.2263908386230469,15,-1
39,*,-243.05189514160156,90.70339965820312,-24.230974197387695,15,302.1428851843192
40,end,-321.2404479980469,131.3340606689453,-46.43657684326172,15,293.52811179443455
-1,reset,-227.1355743408203,760.48486328125,84.2579574584961,5,-1
