STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,48.35940170288086,509.7969970703125,-39.00220489501953,15,-1
1,*,2.664534091949463,395.54620361328125,-13.097526550292969,15,185.83357733070392
2,*,12.567353248596191,395.9871520996094,77.38821411132812,15,174.38284994847132
3,*,3.426245927810669,393.46356201171875,173.8082733154297,15,189.7425981620983
4,*,5.485193729400635,339.3211975097656,334.6168212890625,15,-1
5,*,78.11773681640625,298.6448974609375,184.38583374023438,15,11.12191521534632
6,*,23.555679321289062,343.074951171875,74.11087036132812,15,-1
7,*,-4.341667652130127,275.2980041503906,27.802297592163086,15,-1
8,*,65.03458404541016,199.40760803222656,-57.82317352294922,15,86.9018853772984
9,*,104.13955688476562,177.1244659423828,-51.117427825927734,15,150.08188360461148
10,*,133.45565795898438,161.54466247558594,16.73217010498047,15,171.80210220194257
11,*,129.6674041748047,157.77774047851562,81.00022888183594,15,234.20195821481036
12,*,63.92864227294922,141.873779296875,70.08969116210938,15,303.62198157290425
13,*,1.8807212114334106,135.71759033203125,15.230921745300293,15,265.8219318235497
14,*,-68.42878723144531,84.5901870727539,43.49773406982422,15,-1
15,*,-38.84010696411133,-1.0566420555114746,-223.25888061523438,15,337.30600493977624
16,*,-126.53412628173828,-1.0566420555114746,-303.7505798339844,15,271.3684312674518
17,*,-262.458984375,-1.0566420555114746,-266.4692077636719,15,235.53055721640646
18,*,-328.8299865722656,-1.0566420555114746,-149.69546508789062,15,198.4500204679499
19,*,-335.3574523925781,-1.0566420555114746,4.910909652709961,15,180.02952989058787
20,*,-317.6925354003906,-1.0482611656188965,171.47042846679688,15,160.34829100879708
21,*,-239.13536071777344,-1.0563321113586426,272.5684814453125,15,110.54787381106811
22,*,-146.20191955566406,-0.6764122843742371,257.3040466308594,15,26.904520492552365
23,*,-115.03533172607422,-0.6841038465499878,199.18975830078125,15,3.2294142147182185
24,*,-173.06227111816406,-0.656258225440979,56.266395568847656,15,315.75105399219694
25,*,-250.79368591308594,-0.7140188813209534,102.1633071899414,15,200.6212761729862
26,*,-271.4163818359375,-0.9619255065917969,188.89666748046875,15,181.75418206506316
27,*,-319.8850402832031,-1.0506433248519897,165.0584259033203,15,350.5326402439509
28,*,-335.7268981933594,-1.0503063201904297,2.0223958492279053,15,358.2775394180547
29,*,-328.7616271972656,-1.0503063201904297,-153.6133270263672,15,18.072940465458572
30,*,-259.4802551269531,-1.0503063201904297,-269.1454772949219,15,53.777590521097494
31,end,-121.83203125,-1.0485670566558838,-305.0191345214844,15,90.85306393679741
-1,reset,3.170328140258789,61.32920455932617,-35.67698287963867,5,-1
