STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-412.2144470214844,472.0943908691406,362.1725769042969,15,-1
1,*,-397.8916320800781,408.2082214355469,317.4561767578125,15,36.42788181812517
2,*,-321.8166809082031,360.77972412109375,260.18572998046875,15,54.95448109623695
3,*,-240.0144805908203,350.3198547363281,231.82815551757812,15,84.28219619256349
4,*,-186.83457946777344,411.0801696777344,231.30010986328125,15,63.230815576801845
5,*,-135.113525390625,464.8104248046875,194.62396240234375,15,-1
6,*,-134.0009307861328,415.1662902832031,139.0708770751953,15,3.0169021026683254
7,*,-220.84315490722656,401.401123046875,57.731788635253906,15,288.2241031958441
8,*,-286.7704162597656,397.2807312011719,42.059913635253906,15,301.09965347782787
9,*,-335.7155456542969,470.854736328125,-20.570920944213867,15,324.067822950212
10,*,-397.61553955078125,411.30645751953125,-109.69827270507812,15,297.1812501748861
11,end,-458.0681457519531,373.84442138671875,-129.91012573242188,15,289.1083053022027
-1,reset,-394.64447021484375,589.4417724609375,324.1922912597656,5,-1
