STEP,STEPNAME,X,Y,Z,RADIUS
0,start,30.458370208740234,328.544189453125,-6.642129898071289,15
1,*,19.515697479248047,290.00311279296875,145.88059997558594,15
2,*,-38.24017333984375,290.0406188964844,267.29669189453125,15
3,*,31.998750686645508,276.5167541503906,210.09866333007812,15
4,*,22.551618576049805,276.324951171875,268.6104431152344,15
5,*,87.49373626708984,216.9405517578125,241.636474609375,15
6,*,90.58560180664062,175.58407592773438,58.70412826538086,15
7,*,-75.68765258789062,132.1065673828125,14.421730041503906,15
8,*,-206.27645874023438,132.98094177246094,4.969847202301025,15
9,*,-65.52391052246094,131.23263549804688,-81.15605163574219,15
10,*,68.05108642578125,131.4018096923828,-49.01814651489258,15
11,*,53.59497833251953,131.72119140625,180.4109649658203,15
12,*,48.70119857788086,131.83670043945312,266.1905212402344,15
13,*,-147.67486572265625,131.98907470703125,273.0628356933594,15
14,*,-48.00889587402344,127.04373931884766,116.44296264648438,15
15,*,-67.30422973632812,78.59489440917969,-38.55434036254883,15
16,*,-177.56729125976562,65.92095184326172,-42.08185958862305,15
17,*,-180.9187469482422,65.16301727294922,182.9047393798828,15
18,*,-193.65025329589844,61.52004623413086,323.2061462402344,15
19,end,5.286056041717529,52.9866828918457,161.33302307128906,15
-1,reset,3.170306921005249,61.32920455932617,-35.677032470703125,5
