STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,212.63539123535156,12.091644287109375,-398.2431335449219,15,-1
1,*,201.73252868652344,38.61141586303711,-337.1728210449219,15,-1
2,*,207.72137451171875,40.056312561035156,-456.21026611328125,15,-1
3,*,266.8541564941406,56.06499481201172,-624.4968872070312,15,-1
4,*,380.3170166015625,30.326963424682617,-446.6268615722656,15,-1
5,*,227.3251953125,63.159297943115234,-546.0548706054688,15,-1
6,*,266.69378662109375,73.24043273925781,-475.9394226074219,15,-1
7,*,166.50900268554688,24.326675415039062,-265.10430908203125,15,-1
8,end,211.5509490966797,12.094056129455566,-395.61810302734375,15,-1
-1,reset,157.81350708007812,9.513432502746582,-318.68133544921875,5,-1
-1,reset,179.4545440673828,9.5152006149292,-361.6197509765625,5,-1
