STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-356.4029541,171.9496765,-212.7090607,15,-1
1,*,-267.1047363,162.6082153,-267.9212646,15,-1
2,*,-340.9110718,137.1156921,-98.75540924,15,-1
3,*,-264.1618652,102.806076,-295.1101074,15,-1
4,*,-158.0362244,102.6391602,-232.9078369,15,-1
5,*,-213.0381622,102.5427475,-228.5267944,15,-1
6,*,-337.7167053,71.12923431,-136.668457,15,-1
7,*,-300.1780701,65.66187286,-185.0789337,15,-1
8,*,-227.1400299,52.97885132,-234.3052063,15,-1
9,*,-279.7774658,44.93840408,5.622143269,15,-1
10,*,-354.3389282,71.68369293,-19.06483841,15,-1
11,*,-186.2661896,101.7190247,-189.6810608,15,-1
12,*,-322.2424316,135.9679565,-183.0776215,15,-1
13,*,-197.8658752,148.1633301,-315.8526917,15,-1
14,end,-335.1983337,171.9472809,-243.300766,15,-1
-1,reset,-171.8406219,26.19660568,-435.2079468,5,-1
-1,reset,-119.4769287,26.5463562,-442.5437927,5,-1
