STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-114.5949478149414,389.7120361328125,-238.13148498535156,15,-1
1,*,388.2389221191406,393.41412353515625,-48.20438766479492,15,-1
2,*,440.5841369628906,399.5743408203125,-233.94967651367188,15,-1
3,*,205.14344787597656,405.1203308105469,-700.6015625,15,-1
4,*,163.72230529785156,404.8572082519531,-549.6282348632812,15,-1
5,*,-61.71175765991211,404.5002136230469,-578.52978515625,15,-1
6,*,69.24463653564453,404.0679016113281,-320.8275146484375,15,-1
7,*,10.857978820800781,403.4477844238281,106.85690307617188,15,-1
8,*,-385.80706787109375,402.66644287109375,-159.08230590820312,15,-1
9,*,-491.5780029296875,391.0108337402344,-8.782744407653809,15,-1
10,*,-447.97320556640625,390.61907958984375,-243.31207275390625,15,-1
11,*,-518.1619873046875,390.33709716796875,-413.11944580078125,15,-1
12,end,-299.1274108886719,389.8674011230469,-313.2968444824219,15,-1
-1,reset,-217.52296447753906,392.74737548828125,-306.854736328125,5,-1
