STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,211.22003173828125,-0.09181627631187439,-168.27035522460938,15,-1
1,*,-19.287885665893555,-0.30080264806747437,-158.3123779296875,15,-1
2,*,-89.17240142822266,-0.20239751040935516,-293.5123291015625,15,-1
3,*,-45.8861083984375,18.222597122192383,-454.55377197265625,15,-1
4,*,-78.10761260986328,36.28360366821289,-436.26959228515625,15,-1
5,*,-262.4907531738281,40.13201141357422,-578.8306884765625,15,-1
6,*,-48.32503128051758,40.00034713745117,-476.27166748046875,15,-1
7,*,90.0042724609375,39.950042724609375,-475.3117980957031,15,-1
8,*,85.66011810302734,40.73834991455078,-568.7518310546875,15,-1
9,*,55.250465393066406,42.97522735595703,-468.3820495605469,15,-1
10,*,-121.0914077758789,42.848228454589844,-356.34857177734375,15,-1
11,*,-125.28074645996094,27.577144622802734,-370.7824401855469,15,-1
12,*,-203.73927307128906,64.28276062011719,-268.1533508300781,15,-1
13,*,-188.00794982910156,34.04320526123047,-193.9134979248047,15,-1
14,*,-202.99302673339844,18.800233840942383,-173.83480834960938,15,-1
15,*,-196.5789794921875,-0.1777641475200653,-107.06238555908203,15,-1
16,*,-57.52120590209961,-0.21071183681488037,-68.36225891113281,15,-1
17,*,104.71959686279297,-0.35973888635635376,42.359619140625,15,-1
18,end,214.9196319580078,-0.41718652844429016,-42.37384796142578,15,-1
-1,reset,163.1990509033203,11.030134201049805,-89.38662719726562,5,-1
