STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,252.0769500732422,532.4025268554688,145.4845428466797,15,-1
1,*,283.51324462890625,520.2667846679688,58.60629653930664,25,-1
2,*,339.1636047363281,502.2674560546875,239.24365234375,20,-1
3,*,255.88917541503906,516.4171752929688,85.02037048339844,15,-1
3,*,262.0865173339844,509.2024841308594,96.39410400390625,15,-1
3,*,269.00885009765625,501.428955078125,108.6126937866211,15,-1
3,*,275.9793395996094,493.370849609375,121.26691436767578,15,-1
3,*,282.57958984375,486.39544677734375,131.93838500976562,15,-1
4,*,296.02655029296875,455.3514709472656,-20.674718856811523,15,-1
5,*,344.6224670410156,440.3428955078125,207.6621856689453,15,-1
6,*,357.4752502441406,424.6094970703125,-14.14013957977295,15,-1
7,*,252.2100830078125,360.0248718261719,145.9851837158203,15,-1
8,*,66.1917495727539,304.630859375,64.5671615600586,15,-1
9,*,37.52701187133789,276.3321838378906,108.89169311523438,15,-1
10,*,119.44795989990234,227.45765686035156,209.5332794189453,15,-1
11,*,25.872352600097656,221.18692016601562,140.84983825683594,15,-1
12,*,133.6718292236328,189.8926544189453,106.1969985961914,15,-1
13,*,258.9642333984375,92.54835510253906,-119.78251647949219,15,-1
14,end,-0.3777540624141693,62.002777099609375,-116.83306884765625,15,-1
-1,reset,3.186696767807007,61.329402923583984,-35.07212829589844,5,-1
