STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-21.330516815185547,5.953891754150391,-296.91302490234375,15,-1
1,*,-182.00889587402344,20.70606231689453,-191.25042724609375,15,-1
2,*,-228.70989990234375,20.631088256835938,-367.21844482421875,20,-1
3,*,-230.31283569335938,19.268083572387695,-65.78434753417969,15,-1
4,*,-207.90182495117188,41.42000198364258,218.52609252929688,15,-1
5,*,-43.54853820800781,49.77182388305664,159.5070037841797,15,-1
6,*,92.94062805175781,95.55496215820312,180.1942596435547,20,-1
7,*,305.4468994140625,55.2900505065918,116.0904769897461,15,-1
8,*,132.3101806640625,59.05234146118164,56.820472717285156,15,-1
9,*,212.28553771972656,7.3462910652160645,-315.0202331542969,15,-1
10,*,135.9949188232422,7.254833698272705,-361.3014221191406,20,-1
11,end,41.76592254638672,7.2330756187438965,-311.5162353515625,20,-1
-1,reset,7.856160640716553,61.322879791259766,-57.584556579589844,5,-1
