STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,205.48756408691406,14.927748680114746,-143.24383544921875,15,-1
1,*,212.92701721191406,-0.5332847833633423,255.87779235839844,15,-1
2,*,266.6299743652344,14.936779022216797,122.66724395751953,15,-1
3,*,250.35406494140625,-0.20211485028266907,-88.54637145996094,15,-1
4,*,94.46846008300781,-0.08583022654056549,-203.11607360839844,15,-1
5,*,96.10590362548828,7.599074840545654,33.62322998046875,15,-1
6,*,-74.24075317382812,5.917062282562256,-219.38473510742188,15,-1
7,*,-254.18775939941406,-0.6587847471237183,-173.79371643066406,15,-1
8,*,-258.6952819824219,49.42805862426758,-168.74143981933594,15,-1
9,*,-15.969491958618164,51.97627258300781,-122.8473129272461,15,-1
10,end,121.64663696289062,14.962942123413086,-119.65534210205078,15,-1
-1,reset,35.67767333984375,111.35662841796875,-7.0208282470703125,5,-1
