STEP,STEPNAME,X,Y,Z
0,start,-144.5726624,412.5453186,-467.319519
1,*,-244.540863,392.6598816,-63.6736145
2,*,-72.72650146,352.3705139,-59.11641312
3,*,-99.97316742,311.4998169,-144.8964844
4,*,-153.973526,246.2821045,-86.87413788
5,*,212.7832489,181.4923248,-170.0699921
6,*,-233.9815826,165.2847137,-427.8711548
7,*,157.568512,84.50501251,26.75694466
8,*,-75.7147522,42.56237793,-368.4577332
9,*,-194.4025879,65.84430695,-268.664917
10,end,-100.1966324,89.67404938,-84.90965271
-1,reset,-126.7394104,412.6017456,-534.8988647
