STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,102.0890121459961,154.9481964111328,-86.24810791015625,15,-1
1,*,137.7373504638672,149.0963134765625,-257.7777099609375,15,-1
2,*,-52.3072624206543,130.84298706054688,-278.5162658691406,15,-1
3,*,44.880313873291016,117.63529968261719,115.63932800292969,15,-1
4,*,258.3384704589844,117.151611328125,0.07899078726768494,15,-1
5,*,266.96795654296875,118.12248992919922,69.84611511230469,15,-1
6,*,259.18804931640625,112.42918395996094,-123.5596923828125,15,-1
7,*,342.5392761230469,115.32160186767578,-253.44345092773438,15,-1
8,*,360.27191162109375,96.85568237304688,-237.15943908691406,15,-1
9,*,82.46337890625,98.7763671875,-215.1919403076172,15,-1
10,*,34.66087341308594,98.5080795288086,75.83729553222656,15,-1
11,*,-77.79985046386719,104.62919616699219,-181.36590576171875,15,-1
12,*,-284.14739990234375,107.686767578125,-71.47552490234375,15,-1
13,*,-95.71110534667969,123.52236938476562,-240.6741485595703,15,-1
14,*,-151.0921630859375,123.3344497680664,-61.57170486450195,15,-1
15,*,-79.71514892578125,122.695556640625,285.2006530761719,15,-1
16,*,197.31637573242188,133.76109313964844,224.18289184570312,15,-1
17,*,252.2655029296875,144.47251892089844,303.61444091796875,15,-1
18,*,262.96923828125,134.61166381835938,-0.22375258803367615,15,-1
19,*,300.11517333984375,157.5887908935547,132.94863891601562,15,-1
20,*,331.7735290527344,157.47500610351562,234.5203857421875,15,-1
21,*,-75.816162109375,157.33033752441406,233.2664794921875,15,-1
22,*,-139.01475524902344,157.162353515625,294.7984619140625,15,-1
23,*,-151.07217407226562,158.46141052246094,149.4097442626953,15,-1
24,*,116.88471221923828,194.97230529785156,111.0556640625,15,-1
25,*,-117.0849838256836,194.5364227294922,4.211510181427002,15,-1
26,*,-139.48004150390625,190.058837890625,-158.16766357421875,15,-1
27,*,0.3803214132785797,190.88143920898438,-161.59371948242188,15,-1
28,*,-57.38705825805664,174.88589477539062,-161.69448852539062,15,-1
29,*,-37.552433013916016,172.46148681640625,108.15296936035156,15,-1
30,end,99.46350860595703,163.03433227539062,70.03201293945312,15,-1
-1,reset,116.26140594482422,154.9486083984375,0.15192987024784088,5,-1
