STEP,STEPNAME,X,Y,Z,RADIUS
0,start,19.372474670410156,200.5933380126953,-145.94252014160156,20
1,*,302.66412353515625,232.1178741455078,-255.7198486328125,20
2,*,265.6874084472656,235.90176391601562,-61.35538864135742,20
3,*,148.33111572265625,248.4730224609375,-160.09681701660156,20
4,*,193.70127868652344,248.41656494140625,87.83927154541016,20
5,*,-39.36052703857422,231.87945556640625,268.791259765625,20
6,*,-102.16171264648438,212.53968811035156,339.27337646484375,20
7,*,-85.48368072509766,212.21902465820312,21.069766998291016,20
8,*,21.88902473449707,225.01878356933594,-31.154918670654297,20
9,*,-166.7032470703125,228.75387573242188,-58.004329681396484,20
10,*,-128.28067016601562,195.33822631835938,83.0299072265625,20
11,*,-126.94542694091797,154.69911193847656,224.2298126220703,20
12,*,-171.17819213867188,138.23968505859375,33.63482666015625,20
13,*,-152.88272094726562,127.54387664794922,-65.04597473144531,20
14,*,-67.52952575683594,121.2146987915039,-29.193740844726562,20
15,*,-88.58654022216797,121.10198974609375,36.98080825805664,20
16,*,46.41364288330078,121.0268783569336,117.47576904296875,20
17,*,166.9412078857422,116.6929931640625,-123.79270935058594,20
18,*,256.1924743652344,110.10688018798828,-9.359701156616211,20
19,*,261.3830871582031,113.92558288574219,109.44676208496094,20
20,*,343.4676818847656,71.25386047363281,-133.44419860839844,20
21,*,315.6341247558594,64.75920867919922,-306.96478271484375,20
22,*,296.8282165527344,39.52445983886719,-194.10232543945312,20
23,*,162.07028198242188,39.44355010986328,-130.03829956054688,20
24,*,19.677698135375977,4.965367794036865,-96.98789978027344,20
25,*,148.5049285888672,0.4977758228778839,-307.0494689941406,20
26,*,267.7307434082031,0.36591383814811707,-230.0961456298828,20
27,*,304.5583801269531,11.430048942565918,-138.03952026367188,20
28,*,259.84185791015625,1.2038178443908691,194.6162872314453,20
29,*,253.16732788085938,1.0885491371154785,319.4386901855469,20
30,*,84.09376525878906,10.604604721069336,303.0111389160156,20
31,*,264.6929016113281,26.044967651367188,145.76910400390625,20
32,*,253.837646484375,38.231082916259766,-264.0342712402344,20
33,*,-128.80648803710938,18.66129493713379,-204.69517517089844,20
34,*,-301.1341247558594,18.492027282714844,-60.207393646240234,20
35,*,-335.345703125,18.360164642333984,18.946157455444336,20
36,*,-213.32192993164062,10.643301010131836,-11.792612075805664,20
37,*,-305.35791015625,62.558834075927734,134.98583984375,20
38,*,-235.13616943359375,74.78396606445312,-95.95757293701172,20
39,*,-150.24981689453125,80.6038818359375,274.9905700683594,20
40,*,229.12831115722656,100.61763763427734,218.77044677734375,20
41,*,300.07647705078125,100.35440826416016,266.82635498046875,20
42,*,188.80892944335938,155.97982788085938,329.90185546875,20
43,*,294.5932312011719,155.64138793945312,117.37430572509766,20
44,*,158.7486572265625,181.97080993652344,201.3726806640625,20
45,*,240.16058349609375,186.67324829101562,334.97821044921875,20
46,*,223.38641357421875,242.1374053955078,31.92386245727539,20
47,*,126.94092559814453,213.39476013183594,8.844051361083984,20
48,end,18.124849319458008,200.61050415039062,-29.818357467651367,20
-1,reset,35.67767333984375,111.36075592041016,-7.0208282470703125,5
