STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-149.81214904785156,333.82781982421875,-454.18609619140625,15,-1
1,*,-131.48690795898438,333.80926513671875,-313.4978942871094,25,-1
2,*,19.814279556274414,302.8278503417969,-233.27658081054688,25,-1
3,*,74.9028549194336,330.78131103515625,-215.54649353027344,25,-1
4,*,-47.516998291015625,287.9432067871094,-274.5140686035156,25,-1
5,*,-205.25990295410156,287.86810302734375,-253.60679626464844,25,-1
6,*,-105.59616088867188,287.8293151855469,-323.39434814453125,25,-1
7,*,-217.24560546875,287.7541198730469,-366.6819152832031,25,-1
8,*,-102.27490234375,312.9082946777344,-403.8733215332031,25,-1
9,*,-70.48490905761719,266.17864990234375,27.43269157409668,25,-1
10,*,-237.26898193359375,264.1792297363281,-183.6083526611328,25,-1
11,*,-33.77425003051758,226.08258056640625,132.9084014892578,25,-1
12,*,-63.8299446105957,225.93301391601562,1.4802072048187256,25,-1
13,*,-91.86888122558594,244.2829132080078,-108.50748443603516,25,-1
14,*,119.32259368896484,248.8247528076172,-32.029388427734375,25,-1
15,*,175.50840759277344,225.78433227539062,-100.87114715576172,25,-1
16,*,181.0812225341797,219.3730010986328,94.2685546875,25,-1
17,*,194.45361328125,219.38461303710938,-325.3424987792969,25,-1
18,*,224.8247833251953,44.01689529418945,-310.4756164550781,25,-1
19,*,15.10105037689209,11.757341384887695,-199.25830078125,25,-1
20,end,-51.92911148071289,11.700786590576172,-355.6639099121094,15,-1
-1,reset,-119.68165588378906,26.54635238647461,-442.3093566894531,5,-1
-1,reset,-168.91358947753906,333.9062805175781,-518.8494262695312,5,-1
