STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,39.50942611694336,103.87409973144531,-226.9019317626953,15,-1
1,*,163.2227020263672,94.6502685546875,-303.153076171875,15,-1
2,*,68.3774185180664,81.03369903564453,-230.1302032470703,15,-1
3,*,-260.44873046875,78.87986755371094,-104.77714538574219,15,-1
4,*,-157.66639709472656,79.88573455810547,291.4640197753906,15,-1
5,*,323.9927978515625,122.58273315429688,-48.673194885253906,15,-1
6,*,290.04180908203125,154.60552978515625,89.39804077148438,15,-1
7,*,229.73751831054688,170.49227905273438,278.802734375,15,-1
8,*,287.11614990234375,183.11500549316406,182.23179626464844,15,-1
9,*,169.04647827148438,197.87808227539062,258.2548828125,15,-1
10,*,22.987573623657227,230.96578979492188,254.69593811035156,15,-1
11,*,109.939697265625,203.92523193359375,16.08310317993164,15,-1
12,*,194.02487182617188,237.4705352783203,-50.18247985839844,15,-1
13,*,293.6058349609375,205.35659790039062,-271.5107727050781,15,-1
14,*,222.58106994628906,193.03036499023438,-281.11114501953125,15,-1
15,*,190.31527709960938,167.0336456298828,-352.7442321777344,15,-1
16,*,0.9287365674972534,153.41595458984375,-172.56283569335938,15,-1
17,end,57.6904296875,122.45891571044922,-169.57652282714844,15,-1
-1,reset,35.80665588378906,111.36075592041016,-7.391181468963623,5,-1
