STEP,STEPNAME,X,Y,Z,RADIUS
0,start,410.715087890625,19.30699920654297,530.9717407226562,3
-1,reset,427.70135498046875,19.007749557495117,532.20849609375,5
1,*,367.5986328125,11.997391700744629,553.2185668945312,5
2,*,339.67425537109375,3.006401777267456,582.2963256835938,5
3,*,280.73480224609375,21.981107711791992,657.989990234375,5
4,*,201.265869140625,19.353147506713867,702.942138671875,5
5,*,156.9154815673828,19.061052322387695,706.0820922851562,5
6,*,58.74189758300781,9.943045616149902,724.014404296875,5
7,*,-43.11503982543945,17.39008140563965,695.7256469726562,5
8,*,-12.959383010864258,9.140020370483398,680.6143188476562,5
9,end,-15.582297325134277,11.516695976257324,691.2649536132812,5
