STEP,STEPNAME,X,Y,Z,RADIUS
0,start,52.37970733642578,63.31977462768555,-11.004151344299316,5
1,*,-16.296932220458984,198.0443572998047,-31.130456924438477,5
2,*,-62.57079315185547,194.38278198242188,-31.788846969604492,5
3,*,-23.677549362182617,162.1458282470703,76.02303314208984,5
4,*,115.97024536132812,210.47799682617188,119.97016143798828,5
5,*,65.43733215332031,241.72268676757812,101.03118896484375,5
6,*,30.97919273376465,311.2611389160156,33.384490966796875,5
7,*,-52.471866607666016,326.7518310546875,37.60935974121094,5
8,*,4.788998126983643,343.5714416503906,82.65550994873047,5
9,*,49.8990478515625,423.50360107421875,102.92218017578125,5
10,*,48.41203689575195,450.9269104003906,126.68599700927734,5
11,*,57.77857971191406,457.5487976074219,94.62068176269531,5
12,*,75.5345230102539,478.51806640625,120.98605346679688,5
13,end,76.20890808105469,580.2728271484375,75.8951187133789,5
-1,reset,3.170306921005249,61.32920455932617,-35.677032470703125,5
