STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-11.708233833312988,-1.0668021440505981,-211.16575622558594,15,-1
1,*,-221.45376586914062,-1.0668021440505981,-242.00506591796875,15,-1
2,*,-305.8283386230469,-1.0668021440505981,59.19416427612305,15,-1
3,*,-270.8772888183594,-1.0668021440505981,223.0080108642578,15,-1
4,*,34.103759765625,-1.0668021440505981,357.88543701171875,15,-1
5,*,185.5850067138672,-1.0668021440505981,297.28289794921875,15,-1
6,*,265.5693664550781,-1.0668021440505981,319.2415771484375,15,-1
7,*,344.7637023925781,-1.0668021440505981,-131.56419372558594,15,-1
8,*,330.1544189453125,-1.0566396713256836,-282.10040283203125,15,-1
9,*,217.18312072753906,-1.0566396713256836,-166.13243103027344,15,-1
10,*,136.34918212890625,-1.0566396713256836,-145.78945922851562,15,-1
11,*,23.410825729370117,-1.0566396713256836,74.16326141357422,15,-1
12,end,-4.695143699645996,-1.0566396713256836,-105.27462005615234,15,-1
-1,reset,-33.47937774658203,5.92977237701416,-211.86183166503906,5,-1
