STEP,STEPNAME,X,Y,Z
0,start,233.21591186523438,8.56054401397705,477.771240234375
-1,reset,308.26007080078125,35.16044998168945,515.2572021484375
1,*,-108.59925079345703,16.908260345458984,340.125244140625
2,*,-220.9199981689453,28.74785041809082,-32.014652252197266
3,*,-307.2057189941406,7.515278339385986,-235.68634033203125
4,*,-173.0546417236328,5.826416492462158,-436.0346984863281
5,*,-59.84772872924805,13.091215133666992,-420.60833740234375
6,*,439.3578796386719,9.453458786010742,-430.45904541015625
7,*,491.85968017578125,1.7009484767913818,-160.43212890625
8,*,521.2687377929688,11.1598482131958,-70.7208023071289
9,*,604.9369506835938,8.81571102142334,-21.48897933959961
10,*,581.4658813476562,24.684406280517578,275.7775573730469
11,*,461.9334716796875,50.010581970214844,373.51275634765625
12,*,355.84332275390625,2.554835557937622,456.06304931640625
13,end,289.72845458984375,12.304443359375,464.3570556640625
