STEP,STEPNAME,X,Y,Z,RADIUS
0,start,465.6228332519531,27.168245315551758,258.44146728515625,15
-1,reset,515.8200073242188,20.60076332092285,151.648681640625,15
1,*,332.18426513671875,64.0356674194336,328.2277526855469,15
2,*,-233.25413513183594,25.687461853027344,364.53253173828125,15
3,*,-286.15069580078125,2.4846606254577637,246.47425842285156,15
4,*,-32.641300201416016,21.47239112854004,140.7539825439453,15
5,*,-61.54493713378906,15.462581634521484,45.632171630859375,20
6,*,-426.6194763183594,54.90696716308594,-77.02539825439453,15
7,*,-494.7391357421875,103.20759582519531,-274.52392578125,15
8,*,-400.7825622558594,77.3409652709961,-315.7843933105469,15
9,*,-289.7224426269531,29.51124382019043,-258.2286682128906,15
10,*,-140.0670623779297,15.343700408935547,-632.8471069335938,15
11,*,-68.75111389160156,48.682674407958984,-614.70263671875,25
12,*,85.6784896850586,54.044246673583984,-375.0093688964844,15
13,*,235.5856475830078,34.27231216430664,-275.458984375,15
14,*,378.7042541503906,15.718698501586914,29.149442672729492,15
15,*,494.23297119140625,-0.06953207403421402,117.8377456665039,15
16,*,583.8775024414062,18.935264587402344,246.39712524414062,15
17,end,507.4120788574219,16.257854461669922,193.37490844726562,15
